Review A,Review B,Base MinHash Similarity,Weighted MinHash Similarity
358,938,0.031,0.008
340,890,0.117,0.0
148,927,0.023,0.016
535,566,0.023,0.023
378,501,0.031,0.016
258,292,0.039,0.062
759,897,0.008,0.023
377,570,0.0,0.016
237,841,0.047,0.008
212,581,0.047,0.016
122,613,0.0,0.062
75,451,0.023,0.008
317,859,0.031,0.0
305,715,0.008,0.031
48,887,0.0,0.0
545,578,0.0,0.016
25,53,0.0,0.008
689,860,0.016,0.0
59,317,0.0,0.0
83,702,0.023,0.016
415,698,0.0,0.0
87,792,0.055,0.047
589,622,0.008,0.0
465,579,0.016,0.055
253,718,0.031,0.0
388,545,0.047,0.0
33,901,0.141,0.023
227,834,0.031,0.031
225,729,0.031,0.0
387,883,0.016,0.031
286,720,0.0,0.039
333,353,0.0,0.008
141,966,0.0,0.0
352,530,0.0,0.016
689,691,0.023,0.086
895,961,0.016,0.039
6,47,0.102,0.0
465,475,0.039,0.086
506,643,0.047,0.0
62,74,0.0,0.0
466,690,0.0,0.0
732,894,0.047,0.0
339,497,0.0,0.078
539,746,0.0,0.023
151,521,0.055,0.031
560,608,0.031,0.031
427,854,0.0,0.023
198,249,0.125,0.023
60,376,0.016,0.047
168,243,0.0,0.055
262,658,0.0,0.0
86,748,0.0,0.0
276,384,0.047,0.031
1,704,0.031,0.102
507,870,0.0,0.0
715,885,0.016,0.031
505,590,0.0,0.0
149,416,0.008,0.047
310,967,0.0,0.0
552,668,0.0,0.031
98,615,0.031,0.023
316,574,0.016,0.0
794,889,0.031,0.0
57,500,0.0,0.008
705,973,0.055,0.016
413,742,0.008,0.0
171,349,0.117,0.008
658,747,0.0,0.0
425,944,0.039,0.008
316,564,0.039,0.0
399,475,0.0,0.125
110,502,0.047,0.008
83,701,0.0,0.0
220,569,0.031,0.023
552,956,0.008,0.008
88,703,0.055,0.0
341,442,0.0,0.008
572,675,0.0,0.031
821,874,0.039,0.023
334,338,0.008,0.039
810,821,0.078,0.086
0,300,0.016,0.0
390,655,0.016,0.0
187,717,0.031,0.039
301,923,0.023,0.047
10,277,0.031,0.086
60,541,0.031,0.062
842,861,0.016,0.008
213,311,0.055,0.039
720,984,0.031,0.0
643,722,0.055,0.07
608,727,0.0,0.062
176,978,0.047,0.016
134,721,0.008,0.047
