Review A,Review B,Base Similarity,Weighted Similarity
453,769,0.0,0.0
276,979,0.031,0.062
838,998,0.094,0.023
325,662,0.008,0.039
634,667,0.031,0.0
91,664,0.031,0.016
932,933,0.0,0.0
554,892,0.047,0.0
19,730,0.102,0.133
621,792,0.055,0.016
421,905,0.0,0.0
245,411,0.023,0.031
319,638,0.0,0.0
478,560,0.016,0.008
241,541,0.0,0.0
554,580,0.07,0.055
47,269,0.055,0.016
179,275,0.102,0.117
12,700,0.055,0.016
187,768,0.039,0.07
258,874,0.07,0.016
458,694,0.0,0.0
58,826,0.039,0.031
347,984,0.023,0.0
20,744,0.031,0.031
86,317,0.016,0.047
581,924,0.031,0.023
307,693,0.047,0.055
518,778,0.016,0.016
125,957,0.016,0.023
103,476,0.008,0.016
204,802,0.0,0.0
135,898,0.0,0.0
66,101,0.039,0.062
685,711,0.008,0.016
210,958,0.062,0.016
221,483,0.008,0.0
634,702,0.031,0.062
223,864,0.0,0.0
276,614,0.039,0.039
455,768,0.023,0.047
503,783,0.0,0.0
328,489,0.0,0.0
212,518,0.0,0.0
879,889,0.0,0.0
414,419,0.047,0.031
599,628,0.0,0.0
32,889,0.0,0.0
424,929,0.0,0.0
316,801,0.031,0.016
148,630,0.047,0.031
213,383,0.156,0.094
119,708,0.008,0.0
35,355,0.047,0.008
621,627,0.031,0.039
53,683,0.0,0.0
283,328,0.047,0.039
116,720,0.031,0.047
149,854,0.031,0.07
33,669,0.008,0.039
539,984,0.016,0.0
215,805,0.008,0.031
330,784,0.039,0.055
83,186,0.0,0.0
604,965,0.008,0.016
39,964,0.031,0.008
362,872,0.0,0.0
462,709,0.016,0.008
86,239,0.023,0.047
295,652,0.016,0.016
231,257,0.023,0.047
4,312,0.0,0.0
78,870,0.0,0.0
518,525,0.031,0.023
373,924,0.0,0.0
351,390,0.078,0.078
405,920,0.016,0.016
257,378,0.0,0.0
476,925,0.031,0.07
330,399,0.0,0.0
22,193,0.078,0.078
648,777,0.008,0.008
118,421,0.062,0.078
39,563,0.031,0.008
567,919,0.047,0.008
501,735,0.172,0.102
69,259,0.07,0.055
17,614,0.0,0.0
41,805,0.008,0.047
167,391,0.0,0.0
167,563,0.07,0.055
567,643,0.016,0.0
67,433,0.164,0.117
45,516,0.023,0.023
83,731,0.0,0.0
164,360,0.047,0.008
353,533,0.0,0.0
392,709,0.023,0.055
100,434,0.016,0.0
374,574,0.07,0.023
157,299,0.023,0.031
538,923,0.047,0.039
162,687,0.0,0.0
17,411,0.0,0.0
370,813,0.047,0.047
213,632,0.055,0.039
426,526,0.0,0.0
168,635,0.016,0.047
597,655,0.148,0.148
622,738,0.008,0.008
235,285,0.008,0.016
427,623,0.0,0.0
539,746,0.0,0.0
130,976,0.016,0.016
120,684,0.0,0.0
470,937,0.055,0.055
500,860,0.031,0.039
436,524,0.016,0.008
160,222,0.062,0.031
321,486,0.0,0.0
458,725,0.023,0.023
735,810,0.047,0.062
722,802,0.016,0.039
462,797,0.023,0.016
574,691,0.055,0.039
53,176,0.0,0.0
466,668,0.0,0.0
143,542,0.016,0.047
873,969,0.031,0.023
434,933,0.008,0.016
366,890,0.0,0.0
284,910,0.039,0.016
530,810,0.047,0.023
274,480,0.008,0.0
41,383,0.039,0.039
528,792,0.07,0.078
359,376,0.039,0.039
887,967,0.0,0.0
292,808,0.07,0.039
37,343,0.031,0.031
354,420,0.0,0.0
363,852,0.094,0.109
760,789,0.039,0.07
412,691,0.078,0.062
413,507,0.0,0.0
201,757,0.094,0.078
168,822,0.0,0.0
379,492,0.0,0.0
462,749,0.0,0.0
367,970,0.078,0.008
683,956,0.039,0.016
40,264,0.055,0.062
279,396,0.031,0.047
303,676,0.07,0.086
320,496,0.117,0.07
492,681,0.0,0.0
474,508,0.0,0.0
